# MODEL ATMOSPHERE NO.  6
#
#
#      Z         P        T     REL H    H2O                          AEROSOL
#     (KM)      (MB)     (K)     (%)  (GM / M3)  TYPE                 PROFILE
#                              [Before scaling]
#     2.250   770.655  273.53   52.18 2.596E+00 USER RAIN NO CLOUD  USER RAIN NO CLOUD  
#
#TOTAL COLUMN ABSORBER AMOUNTS FOR THE LINE-OF-SIGHT PATH:
#
#                 HNO3      O3 UV      CNTMSLF1    CNTMSLF2    CNTMFRN     N2 CONT     MOL SCAT
#               (ATM CM)   (ATM CM)   (MOL CM-2)  (MOL CM-2)  (MOL CM-2)             (550 NM EXT)
#            3.5216E-04  3.3824E-01  3.2010E+19  2.5522E+19  1.1881E+22  2.3466E+00  7.4361E-02
#
#
#                AER 1       AER 2       AER 3       AER 4      CIRRUS     WAT DROP    ICE PART   MEAN AER RH
#                                                                         (KM GM/M3)  (KM GM/M3)    (PRCNT)
#              0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000        0.00
#
#
#
#                H2O         O3          CO2         CO          CH4         N2O
#             (                                   ATM CM                                   )
#            6.3607E+02  3.3824E-01  2.2091E+02  6.1598E-02  1.0013E+00  1.8590E-01
#
#
#
#                O2          NH3         NO          NO2         SO2
#               (                      ATM CM                      )
#            1.2825E+05  8.3811E-05  2.5812E-04  2.0012E-04  5.9650E-05
#
#
#               CFC11       CFC12       CFC13       CFC14       CFC22      CFC113      CFC114
#             (                                    ATM CM                                    )
#            7.9177E-05  1.3973E-04  6.1363E-13  6.1363E-13  3.5415E-05  1.0965E-05  7.1047E-06
#
#
#              CFC115      CLONO2        HNO4      CHCL2F        CCL4        N2O5
#             (                                    ATM CM                                    )
#            6.1363E-13  3.8629E-05  4.1787E-05  6.1363E-13  7.2964E-05  2.7589E-06
#
#  wv(nm)     COMB_TR       H2O        O3    H2O_CT  MOL_SCAT   AER+CLD        O2 
  1049.869   0.99180   1.00000   1.00000   1.00000   0.99460   1.00000   0.99780 
  1049.318   0.99170   1.00000   1.00000   1.00000   0.99460   1.00000   0.99800 
  1048.768   0.99260   1.00000   1.00000   1.00000   0.99460   1.00000   0.99810 
  1048.218   0.99270   1.00000   1.00000   1.00000   0.99450   1.00000   0.99820 
  1047.669   0.99280   1.00000   1.00000   1.00000   0.99450   1.00000   0.99830 
  1047.120   0.99290   1.00000   0.99990   1.00000   0.99450   1.00000   0.99840 
  1046.572   0.99300   1.00000   0.99990   1.00000   0.99450   1.00000   0.99850 
  1046.025   0.99300   1.00000   0.99990   1.00000   0.99450   1.00000   0.99860 
  1045.478   0.99310   1.00000   0.99990   1.00000   0.99450   1.00000   0.99870 
  1044.932   0.99320   1.00000   1.00000   1.00000   0.99450   1.00000   0.99880 
  1044.386   0.99320   1.00000   1.00000   1.00000   0.99450   1.00000   0.99880 
  1043.841   0.99330   1.00000   1.00000   1.00000   0.99440   1.00000   0.99890 
  1043.297   0.99330   1.00000   1.00000   1.00000   0.99440   1.00000   0.99890 
  1042.753   0.99340   1.00000   1.00000   1.00000   0.99440   1.00000   0.99900 
  1042.209   0.99340   1.00000   1.00000   1.00000   0.99440   1.00000   0.99900 
  1041.667   0.99340   1.00000   1.00000   1.00000   0.99440   1.00000   0.99910 
  1041.124   0.99340   1.00000   1.00000   1.00000   0.99440   1.00000   0.99910 
  1040.583   0.99330   0.99990   1.00000   1.00000   0.99440   1.00000   0.99920 
  1040.042   0.99350   1.00000   1.00000   1.00000   0.99440   1.00000   0.99920 
  1039.501   0.99350   1.00000   1.00000   1.00000   0.99440   1.00000   0.99920 
  1038.961   0.99350   1.00000   1.00000   1.00000   0.99430   1.00000   0.99930 
  1038.422   0.99350   0.99990   1.00000   1.00000   0.99430   1.00000   0.99930 
  1037.883   0.99350   1.00000   1.00000   1.00000   0.99430   1.00000   0.99930 
  1037.344   0.99340   1.00000   1.00000   1.00000   0.99430   1.00000   0.99930 
  1036.807   0.99340   1.00000   1.00000   1.00000   0.99430   1.00000   0.99940 
  1036.269   0.99350   0.99980   1.00000   1.00000   0.99430   1.00000   0.99940 
  1035.733   0.99360   0.99990   1.00000   1.00000   0.99430   1.00000   0.99940 
  1035.197   0.99370   1.00000   1.00000   1.00000   0.99430   1.00000   0.99940 
  1034.661   0.99370   1.00000   1.00000   1.00000   0.99420   1.00000   0.99950 
  1034.126   0.99370   1.00000   1.00000   1.00000   0.99420   1.00000   0.99950 
  1033.592   0.99310   0.99940   1.00000   1.00000   0.99420   1.00000   0.99950 
  1033.058   0.99370   1.00000   1.00000   1.00000   0.99420   1.00000   0.99950 
  1032.525   0.99370   1.00000   1.00000   1.00000   0.99420   1.00000   0.99950 
  1031.992   0.99360   0.99990   1.00000   1.00000   0.99420   1.00000   0.99950 
  1031.460   0.99300   0.99920   1.00000   1.00000   0.99420   1.00000   0.99960 
  1030.928   0.99330   0.99960   1.00000   1.00000   0.99420   1.00000   0.99960 
  1030.397   0.99370   1.00000   1.00000   1.00000   0.99420   1.00000   0.99960 
  1029.866   0.99330   0.99960   1.00000   1.00000   0.99410   1.00000   0.99960 
  1029.336   0.99330   0.99960   1.00000   1.00000   0.99410   1.00000   0.99960 
  1028.807   0.99200   0.99830   1.00000   1.00000   0.99410   1.00000   0.99960 
  1028.278   0.99370   1.00000   1.00000   1.00000   0.99410   1.00000   0.99960 
  1027.749   0.99170   0.99800   1.00000   1.00000   0.99410   1.00000   0.99960 
  1027.221   0.99240   0.99870   1.00000   1.00000   0.99410   1.00000   0.99960 
  1026.694   0.99370   1.00000   1.00000   1.00000   0.99410   1.00000   0.99970 
  1026.167   0.99280   0.99910   1.00000   1.00000   0.99410   1.00000   0.99970 
  1025.641   0.99260   0.99890   1.00000   1.00000   0.99400   1.00000   0.99970 
  1025.115   0.99280   0.99920   1.00000   1.00000   0.99400   1.00000   0.99970 
  1024.590   0.99360   1.00000   1.00000   1.00000   0.99400   1.00000   0.99970 
  1024.066   0.98850   0.99480   1.00000   1.00000   0.99400   1.00000   0.99970 
  1023.541   0.99180   0.99810   1.00000   1.00000   0.99400   1.00000   0.99970 
  1023.018   0.99120   0.99760   1.00000   1.00000   0.99400   1.00000   0.99970 
